Name,,V,T,M,n,np,B,G,E,v,H,B',G',ρ,vL,vS,va,Θe,γel,γes,γe,A,κ,κref.,Formula,space group,k_BTE_DFT,k_BTE_DFT（1000 K）,k_AFLOW_AAPL,k_AFLOW_AGL,k_AFLOW_AGL (Poisson ratio σ=0.25),k_Mingo,k_EXP,k_EXP（1000 K）
23268_NaI, Fm-3m ,4.09700356116522,300,149.894,2,2,14.7171,8.73427,21.875307861,0.2522688136,3.8594967515,-0.84855,-0.43094,3.619376589,2.6988504884,1.553446926,1.7250796085,125.3581957224,1.6895309549,1.5298542675,1.5848683444,3.64E-06,2.920613883,1.8,NaI,Fm-3m,,,1.46,0.851,1.17,,1.8,
2201_PbSe, Fm-3m ,3.90571155244908,300,286.16,2,2,48.4626,29.814,74.221700962,0.2447457732,8.2548973752,-2.92283,-1.32511,7.9754826833,3.3257664386,1.9334441674,2.1451760022,163.5206844226,1.4170221433,1.1573766318,1.2499324102,2.06E-06,10.7287924079,2,PbSe,Fm-3m,,,1.21,4.81,4.88,,2,
1342_BaO, Fm-3m ,5.61752587575071,300,613.308,8,8,71.1538,38.1922,97.1878862184,0.2723525513,8.1343672572,-1.39745,-0.48467,5.7450251352,4.6096768695,2.5783470361,2.8700935322,152.1110979097,1.3171646614,0.9581369699,1.0910202643,1.48E-06,6.3030241479,2.3,BaO,Fm-3m,,,2.99,7.1,8.88,,2.3,
22903_RbI, Fm-3m ,4.73336749738395,300,212.372,2,2,9.35648,5.19493,13.1508977268,0.2657434967,2.6343334811,-0.34857,-0.15664,3.3253329241,2.2128417489,1.2498914114,1.3902096134,87.4419825409,1.6485562921,1.4321683513,1.5077522145,3.23E-06,1.5904784312,2.3,RbI,Fm-3m,,,1.64,0.368,0.52,,2.3,
23209_SrCl2, Fm-3m ,4.439520008713,300,158.526,3,3,34.218,14.1887,37.3971196266,0.3178486974,3.3698561464,-1.33865,-0.24407,3.0084375213,4.2026673942,2.171704868,2.4313068246,163.0473272521,1.2034588377,0.5859084459,0.8435817661,8.01E-07,3.8151101617,2.3,SrCl2,Fm-3m,,,1.8,,,,2.3,
19717_PbTe, Fm-3m ,4.1314652212515,300,334.8,2,2,40.7703,26.3552,65.0490239203,0.2340832913,8.1385682414,-2.09064,-1.08084,7.8835475937,3.103060691,1.8284046251,2.0261486402,146.0081619568,1.4738145347,1.2793636575,1.3473024925,2.46E-06,9.740377531,2.5,PbTe,Fm-3m,,,1.73,4.07,4.15,,2.5,
2730_HgTe, F-43m ,4.19587652743734,300,328.19,2,2,34.4956,13.4104,35.6158928371,0.3279206003,3.0234772318,-1.79301,0.06722,7.3774418162,2.6644883164,1.3482423647,1.5113971526,107.2422291214,1.0345381458,-0.3518043732,0.6627724117,4.49E-07,2.893086897,2.5,HgTe,F-43m,,,,1.21,2.36,,2.5,
22898_KI, Fm-3m ,4.54393185360342,300,166.002,2,2,11.5362,6.02379,15.3922724157,0.2776235904,2.6735486214,-0.43088,-0.18222,2.9380990991,2.5807094498,1.4318637409,1.5949075315,104.4993603062,1.4487239523,1.2523635784,1.3210639847,2.35E-06,1.9320770006,2.6,KI,Fm-3m,,,1.46,0.525,0.72,,2.6,
22916_NaBr, Fm-3m ,3.77836271860064,300,102.894,2,2,21.0674,11.6921,29.6003744993,0.2658279736,4.232106315,-1.99807,-0.60223,3.167580471,3.401839672,1.9212435928,2.1369523755,168.3841188931,1.8941788329,1.222488669,1.4806384369,3.09E-06,4.3605884559,2.8,NaBr,Fm-3m,,,2.74,1.33,1.66,,2.8,
23295_RbCl, Fm-3m ,4.23322104124127,300,120.921,2,2,13.0613,8.65588,21.2691908072,0.2285978322,4.3682461774,-0.73542,-0.26915,2.6468994266,3.0487419384,1.808368334,2.0026996251,140.8493356871,1.5204114049,1.0127465761,1.2059521957,1.89E-06,3.09555325,2.8,RbCl,Fm-3m,,,,0.837,1.09,,2.8,
